Company,Founded In,Current Status,Sector,Val_inCr,fun_inCr,Headquarters,Operating Revenue (FY23),Operating Revenue (FY22),Loss/ Profit (FY23),Loss/ Profit (FY22),Employee Benefit (FY23),Employee Benefit (FY22),Advertisement Spends (FY23),Advertisement Spend (FY22),Years to Unicorn,,,,,,,,
Fino,2015,Private Limited,Fintech,600,100.1,Mumbai,94.8,35.6,65,42.7,155.6,133.2,–,–,,,,,,,,,
Rupeek,2015,Private Limited,Fintech,188.8,100.2,Bengaluru,88.9,122.9,-281.6,-364.4,161.1,178.1,58.8,130.3,,,,,,,,,
Dunzo,2014,Private Limited,Logistics,350,100.3,Bengaluru,226.6,54.3,-1801.8,-464,338,138.3,309.7,64.4,,,,,,,,,
IndiaMart,1996,Private Limited,Ecommerce,225,100.5,Delhi-NCR,985.3,753.4,283.8,297.6,424.7,267.5,2.6,0.9,,,,,,,,,
boAt,2016,Private Limited,Consumer Services,225,100.9,Delhi-NCR,3376.7,2872.9,-129.4,68.7,99.4,56.1,427.6,99,,,,,,,,,
BankBazaar,2008,Private Limited,Fintech,350,115.8,Chennai,158.69,95.52,-36.71,-43.2,92.58,80.6,28.3,22.3,,,,,,,,,
Ather Energy,2013,Private Limited,Enterprisetech,750,128.7,Bengaluru,1783.6,408.5,-864.5,-344.1,334.9,113.9,203.8,45.5,,,,,,,,,
Classplus,2018,Private Limited,Edtech,125,15.3,Delhi-NCR,102,25.9,-256.6,-164,228.9,104.4,50.9,33.9,,,,,,,,,
Myntra,2007,Listed,Ecommerce,160,515.6,Bengaluru,4375,3501.2,-782.4,-597.6,631.8,522.5,1758.8,1298,6.5,,,,,,,,
Just Dial,1996,Private Limited,Consumer Services,600,85,Mumbai,844.7,646.9,162.7,70.8,651,504,–,–,,,,,,,,,
Ninjacart,2015,Private Limited,Ecommerce,600,375.8,Bengaluru,1153.4,967.3,-326.3,-307.9,246.8,162.7,–,–,,,,,,,,,
Cashify,2009,Private Limited,Consumer Services,125,222.4,Delhi-NCR,815.9,497.9,-147.9,-99,117.2,75.4,38,39.4,,,,,,,,,
Clear,2010,Private Limited,Enterprisetech,360,135,Bengaluru,108.8,58.7,-233.5,-222.7,251,223.3,16.7,13.5,,,,,,,,,
Ideaforge,2007,Private Limited,Enterprisetech,125,45.6,Mumbai,186,159.4,31.9,44,50.9,26.8,1.5,0.1,,,,,,,,,
CarTrade,2010,Private Limited,Consumer Services,600,307.4,Mumbai,363.7,312.7,40.4,-121.3,205.3,332.7,–,–,,,,,,,,,
BookMyShow,2007,Private Limited,Media & Entertainment,600,225.4,Mumbai,975.5,277.1,85.1,-92.2,137.6,111.9,53.6,9.6,,,,,,,,,
Wakefit,2016,Private Limited,HealthTech,125,125.9,Bengaluru,812.6,632.5,-145.6,-106.5,105.7,91.5,95.9,61.2,,,,,,,,,
ZestMoney,2015,Closed,Fintech,600,145.4,Mumbai,243.7,138.4,-412.4,-398.8,130,93.3,165,97.8,,,,,,,,,
HealthifyMe,2012,Private Limited,HealthTech,477,130.1,Bengaluru,228.7,185.2,-142,-157,116,93.8,115.9,133.1,,,,,,,,,
InsuranceDekho,2016,Private Limited,Fintech,125,270.1,Delhi-NCR,96.4,47.9,-51.5,-72.2,107,87.6,16.9,16.5,,,,,,,,,
SUGAR Cosmetics,2012,Private Limited,Consumer goods,60,87.5,Mumbai,420,221.8,-76.2,-75.9,60.8,35.5,162.5,97.5,,,,,,,,,
